let,	NN,	let's,	a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India;a serve that strikes the net before falling into the receiver's court; the ball must be served again
let,	VBZ,	lets,	make it possible through a specific action or lack of action for something to happen;actively cause something to happen;consent to, give permission;cause to move; cause to be in a certain position or condition;leave unchanged;grant use or occupation of under a term of contract
fly,	VB,	fly,	travel through the air; be airborne;move quickly or suddenly;operate an airplane;transport by aeroplane;cause to fly or float;be dispersed or disseminated;change quickly from one emotional state to another;pass away rapidly;travel in an airplane;display in the air or cause to float;run away quickly;travel over (an area of land or sea;hit a fly;decrease rapidly and disappear
fly,	VBG,	flying,	travel through the air; be airborne;move quickly or suddenly;operate an airplane;transport by aeroplane;cause to fly or float;be dispersed or disseminated;change quickly from one emotional state to another;pass away rapidly;travel in an airplane;display in the air or cause to float;run away quickly;travel over (an area of land or sea;hit a fly;decrease rapidly and disappear
land,	VBP,	land,	reach or come to rest;cause to come to the ground;bring into a different state;bring ashore;deliver (a blow;arrive on shore;shoot at and force to come down
wipe,	VB,	wipe,	rub with a circular motion
wipe,	VBG,	wiping,	rub with a circular motion
wipe,	VBP,	wipe,	rub with a circular motion
hand,	NN,	hand,	the (prehensile;a hired laborer on a farm or ranch;something written by hand;ability;a position given by its location to the side of an object;the cards held in a card game by a given player at any given time;one of two sides of an issue;a rotating pointer on the face of a timepiece;a unit of length equal to 4 inches; used in measuring horses;a member of the crew of a ship;a card player in a game of bridge;a round of applause to signify approval;terminal part of the forelimb in certain vertebrates (e.g. apes or kangaroos;physical assistance
hand,	NNS,	hands,	the (prehensile;a hired laborer on a farm or ranch;something written by hand;ability;a position given by its location to the side of an object;the cards held in a card game by a given player at any given time;one of two sides of an issue;a rotating pointer on the face of a timepiece;a unit of length equal to 4 inches; used in measuring horses;a member of the crew of a ship;a card player in a game of bridge;a round of applause to signify approval;terminal part of the forelimb in certain vertebrates (e.g. apes or kangaroos;physical assistance
pick,	VB,	pick,	select carefully from a group;look for and gather;harass with constant criticism;provoke;remove in small bits;remove unwanted substances from, such as feathers or pits;pilfer or rob;pay for something;pull lightly but sharply with a plucking motion;attack with or as if with a pickaxe of ice or rocky ground, for example;hit lightly with a picking motion;eat intermittently; take small bites of
sit,	VBP,	sit,	be seated;be around, often idly or without specific purpose;take a seat;be in session;assume a posture as for artistic purposes;sit and travel on the back of animal, usually while controlling its motions;be located or situated somewhere;work or act as a baby-sitter;show to a seat; assign a seat for;serve in a specific professional capacity
sit,	VB,	sit,	be seated;be around, often idly or without specific purpose;take a seat;be in session;assume a posture as for artistic purposes;sit and travel on the back of animal, usually while controlling its motions;be located or situated somewhere;work or act as a baby-sitter;show to a seat; assign a seat for;serve in a specific professional capacity
sit,	VBN,	sat,	be seated;be around, often idly or without specific purpose;take a seat;be in session;assume a posture as for artistic purposes;sit and travel on the back of animal, usually while controlling its motions;be located or situated somewhere;work or act as a baby-sitter;show to a seat; assign a seat for;serve in a specific professional capacity
sit,	VBG,	sitting,	be seated;be around, often idly or without specific purpose;take a seat;be in session;assume a posture as for artistic purposes;sit and travel on the back of animal, usually while controlling its motions;be located or situated somewhere;work or act as a baby-sitter;show to a seat; assign a seat for;serve in a specific professional capacity
sit,	VBZ,	sits,	be seated;be around, often idly or without specific purpose;take a seat;be in session;assume a posture as for artistic purposes;sit and travel on the back of animal, usually while controlling its motions;be located or situated somewhere;work or act as a baby-sitter;show to a seat; assign a seat for;serve in a specific professional capacity
sit,	NN,	sit,	--- No definition found for pos_key n ---
