wanna,	VB,	wanna,	'Want to; want a', 'I wanna blow some bubbles.'
wanna,	VBP,	wanna,	'Want to; want a', 'so when they wanna get out they can go .'
play,	VB,	play,	participate in games or sport; 'just one that I like to play '
play,	NN,	play,	a dramatic work intended for performance by actors on a stage;a theatrical performance of a drama;a preset plan of action in team sports;a deliberate coordinated movement requiring dexterity and skill;a state in which action is feasible;utilization or exercise;an attempt to get something;activity by children that is guided more by imagination than by fixed rules;(in games or plays or other performances;the removal of constraints;a weak and tremulous light;verbal wit or mockery (often at another's expense but not to be taken seriously;movement or space for movement;gay or light-hearted recreational activity for diversion or amusement;the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize;the act using a sword (or other weapon
play,	VBP,	play,	participate in games or sport; 'she doesn't even play .'
play,	VBD,	played,	participate in games or sport; 'I played with the toys .'
play,	VBG,	playing,	participate in games or sport; 'I'm playing with something else .'
farm,	NN,	farm,	workplace consisting of farm buildings and cultivated land as a unit; 'she's going out to the farm to feed them'
farm,	VB,	farm,	be a farmer; work as a farmer;collect fees or profits;cultivate by growing, often involving improvements by means of agricultural techniques; 'I have to farm this'
Amy,	NNP,	Amy, ---
happen,	VBD,	happened,	come to pass;happen, occur, or be the case in the course of events or by chance;chance to be or do something, without intention or causation;come into being; become reality;come upon, as if by accident; meet with, 'look what happened .'
happen,	VBZ,	happens,	come to pass;happen, occur, or be the case in the course of events or by chance;chance to be or do something, without intention or causation;come into being; become reality;come upon, as if by accident; meet with, 'okay let us see what happens first .'
happen,	VB,	happen,	come to pass;happen, occur, or be the case in the course of events or by chance;chance to be or do something, without intention or causation;come into being; become reality;come upon, as if by accident; meet with, 'what would happen if somebody sat in that chair ?'
happen,	VBN,	happened,	come to pass;happen, occur, or be the case in the course of events or by chance;chance to be or do something, without intention or causation;come into being; become reality;come upon, as if by accident; meet with, 'look what happened .'
happen,	VBP,	happen,	come to pass;happen, occur, or be the case in the course of events or by chance;chance to be or do something, without intention or causation;come into being; become reality;come upon, as if by accident; meet with, 'what would happen if somebody sat in that chair ?'
cow,	VB,	cow,	subdue, restrain, or overcome by affecting with a feeling of awe; frighten (as with threats
cow,	NN,	cow,	mature female of mammals of which the male is called `bull'; 'just the pigs and the horses and a cow'
cow,	NNS,	cows,	mature female of mammals of which the male is called `bull'; 'just the pigs and the horses and the cows'
oh,	UH,	oh,	--- No definition found for pos_key x ---, 'oh koolaid .'
know,	VBP,	know,	be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about;be aware of the truth of something; be able to distinguish, recognize as being different;perceive as familiar, ' They don't know about the farm. '
